ツモ,対応地形数,使用ミノ,未使用ミノ,テト譜
IJISZLOT,4,TILJSZO;TIILJSZ;IILJSZO;TIILJZO,I;O;T;S,v115@9gzhB8ywwhilB8Btwwg0whglR4C8Btg0whR4E8h0wh?JeAgWHATePFDsedBA;v115@9gzhB8zhilB8ywAtg0glR4C8wwBtg0R4E8Ath0JeAg?WHAzfjxCMOdBA;v115@9gzhB8zhglRpB8ywAtg0glRpC8wwBtg0hlE8Ath0Je?AgWHAqXMgCUOdBA;v115@9gwhilB8Q4ywwhglAtB8zhg0whBtC8R4wwg0whAtE8?Q4h0JeAgWHAqn1LCMN2BA
IJISZLTO,7,TILJSZO;TIILJSZ;IILJSZO;TIILJZO,I;O;T;S,v115@9gzhB8ywwhilB8Btwwg0whglR4C8Btg0whR4E8h0wh?JeAgWHATePFDsedBA;v115@9gxhh0B8R4hlxhg0B8R4ywxhg0C8BtwwglxhE8Btgl?JeAgWHAaO9wCz/jBA;v115@9gzhB8zhilB8ywAtg0glR4C8wwBtg0R4E8Ath0JeAg?WHAzfjxCMOdBA;v115@9gzhB8zhglRpB8ywAtg0glRpC8wwBtg0hlE8Ath0Je?AgWHAqXMgCUOdBA;v115@9gwhilB8wwR4xhglAtB8ywg0xhBtC8R4g0xhAtE8h0?whJeAgWHApfbMC0yzBA;v115@9gzhB8zhRpglB8ywAtg0ilC8wwBtg0RpE8Ath0JeAg?WHAqXExCPOdBA;v115@9gwhilB8Q4ywwhglAtB8zhg0whBtC8R4wwg0whAtE8?Q4h0JeAgWHAqn1LCMN2BA
IJISLZTO,10,TILJSZO;TIILJSZ;TIILJZO;IILJSZO,I;O;S;T,v115@9gzhB8ywwhilB8Btwwg0whglR4C8Btg0whR4E8h0wh?JeAgWHATePFDsedBA;v115@9gxhh0B8wwR4Atxhg0B8ywBtxhg0C8R4AtglxhE8il?JeAgWHAMONFD0vzBA;v115@9gxhh0B8R4hlxhg0B8R4ywxhg0C8BtwwglxhE8Btgl?JeAgWHAaO9wCz/jBA;v115@9gzhB8zhilB8ywAtg0glR4C8wwBtg0R4E8Ath0JeAg?WHAzfjxCMOdBA;v115@9gzhB8zhglRpB8ywAtg0glRpC8wwBtg0hlE8Ath0Je?AgWHAqXMgCUOdBA;v115@9gBtR4B8zhglR4B8zhg0glBtC8ywg0hlE8wwh0JeAg?WHAqO8LCzndBA;v115@9gBtR4B8zhglBtB8zhg0glR4C8ywg0hlE8wwh0JeAg?WHAqO8LCaddBA;v115@9gzhB8zhRpglB8ywAtg0ilC8wwBtg0RpE8Ath0JeAg?WHAqXExCPOdBA;v115@9gBtR4B8ywwhglR4B80hglBtC8i0whhlE8wwg0whJe?AgWHAp/7LCzX2BA;v115@9gBtR4B8ywwhglBtB80hglR4C8i0whhlE8wwg0whJe?AgWHAp/7LCaN2BA
IJISLZOT,7,TILJSZO;TIILJSZ;IILJSZO;TIILJZO,I;O;T;S,v115@9gzhB8ywwhilB8Btwwg0whglR4C8Btg0whR4E8h0wh?JeAgWHATePFDsedBA;v115@9gzhB8zhilB8ywAtg0glR4C8wwBtg0R4E8Ath0JeAg?WHAzfjxCMOdBA;v115@9gzhB8zhglRpB8ywAtg0glRpC8wwBtg0hlE8Ath0Je?AgWHAqXMgCUOdBA;v115@9gBtR4B8zhglR4B8zhg0glBtC8ywg0hlE8wwh0JeAg?WHAqO8LCzndBA;v115@9gBtR4B8zhglBtB8zhg0glR4C8ywg0hlE8wwh0JeAg?WHAqO8LCaddBA;v115@9gBtR4B8ywwhglR4B80hglBtC8i0whhlE8wwg0whJe?AgWHAp/7LCzX2BA;v115@9gBtR4B8ywwhglBtB80hglR4C8i0whhlE8wwg0whJe?AgWHAp/7LCaN2BA
IJISLOZT,5,TIILJSZ;IILJSZO;TIILJZO,O;T;S,v115@9gzhB8ywwhilB8Btwwg0whglR4C8Btg0whR4E8h0wh?JeAgWHATePFDsedBA;v115@9gzhB8zhilB8ywAtg0glR4C8wwBtg0R4E8Ath0JeAg?WHAzfjxCMOdBA;v115@9gzhB8zhglRpB8ywAtg0glRpC8wwBtg0hlE8Ath0Je?AgWHAqXMgCUOdBA;v115@9gBtR4B8zhglR4B8zhg0glBtC8ywg0hlE8wwh0JeAg?WHAqO8LCzndBA;v115@9gBtR4B8ywwhglR4B80hglBtC8i0whhlE8wwg0whJe?AgWHAp/7LCzX2BA
IZLTOJSI,14,TIILJSO;TILJSZO;TIILSZO;TIILJSZ;TIILJZO;TIIJSZO,Z;I;J;O;S;L,v115@9gxhh0B8R4Rpxhg0B8R4wwRpxhg0C8ywglxhE8ilJe?AgWHAse1LCPtfBA;v115@9gzhB8wwhlwhi0B8ywglwhRpg0C8BtglwhRpE8Btwh?JeAgWHAaX9wCsPdBA;v115@9gzhB8zhi0B8BtywRpg0C8BtwwglRpE8ilJeAgWHAM?njxCKOdBA;v115@9gwhilB8i0xhglAtB8ywg0xhBtC8wwRpxhAtE8Rpwh?JeAgWHAPebMC0/jBA;v115@9gwhilB80hglAtB8ywRpwhBtC8wwg0RpwhAtE8i0Je?AgWHAKnbMCU+jBA;v115@9gzhB8zhglRpB8Bti0glRpC8Btwwg0hlE8ywJeAgWH?A0XMgCKOdBA;v115@9gwhilB80hglAtB8ywR4whBtC8wwi0whAtE8R4g0Je?AgWHAqn9wCT+jBA;v115@9gzhB8ywwhi0B8BthlwhRpg0C8BtglwhRpE8wwglwh?JeAgWHAP+TFDqedBA;v115@9gzhB8wwhlwhg0R4B8ywglwhi0C8BtglwhR4E8Btwh?JeAgWHAae/wCMddBA;v115@9gzhB8zhg0R4B8Btywi0C8BtwwglR4E8ilJeAgWHAs?3/wCTOdBA;v115@9gwhilB80hRpB8Bti0whRpC8Btwwg0whglE8ywJeAg?WHA0HDMCqSdBA;v115@9gzhB8wwRpwhh0AtB8ywglwhg0BtC8ilwhg0AtE8Rp?whJeAgWHApizPCUXdBA;v115@9gzhB8i0whglRpB8ywAtwhglRpC8wwBtwhhlE8Atg0?whJeAgWHApXMgC0PdBA;v115@9gzhB8i0whRpglB8ywAtwhilC8wwBtwhRpE8Atg0wh?JeAgWHApXExCvPdBA
IJISOLZT,3,TIILJSO;TIILJZO;TIILJSZ;IILJSZO,Z;S;O;T,v115@9gzhB8R4RpywB8R4g0RpilC8zhglwwE8i0JeAgWHAp?i/wCPddBA;v115@9gxhh0B8ywglxhg0B8Btilxhg0C8BtRpxhE8wwRpJe?AgWHAvn1LCs/1BA;v115@9gzhB8zhilB8ywAtg0glR4C8wwBtg0R4E8Ath0JeAg?WHAzfjxCMOdBA
IZLTJOSI,21,TIILJSO;TILJSZO;TIILSZO;TIILJSZ;TIILJZO,Z;I;J;O;S,v115@9gxhh0B8R4Rpxhg0B8R4wwRpxhg0C8ywglxhE8ilJe?AgWHAse1LCPtfBA;v115@9gzhB8wwhlwhi0B8ywglwhRpg0C8BtglwhRpE8Btwh?JeAgWHAaX9wCsPdBA;v115@9gzhB8zhi0B8BtywRpg0C8BtwwglRpE8ilJeAgWHAM?njxCKOdBA;v115@9gwhilB8i0xhglAtB8ywg0xhBtC8wwRpxhAtE8Rpwh?JeAgWHAPebMC0/jBA;v115@9gzhB8zhh0AtB8ywhlg0BtC8wwRpglg0AtE8RpglJe?AgWHAvizPCUOdBA;v115@9gwhilB80hglAtB8ywRpwhBtC8wwg0RpwhAtE8i0Je?AgWHAKnbMCU+jBA;v115@9gzhB8zhh0AtB8ywR4g0BtC8wwR4glg0AtE8ilJeAg?WHAMtzPCUOdBA;v115@9gzhB8zhglRpB8Bti0glRpC8Btwwg0hlE8ywJeAgWH?A0XMgCKOdBA;v115@9gwhilB80hglAtB8ywR4whBtC8wwi0whAtE8R4g0Je?AgWHAqn9wCT+jBA;v115@9gzhB8R4RpywB8R4g0RpilC8zhglwwE8i0JeAgWHAp?i/wCPddBA;v115@9gzhB8ywwhi0B8BthlwhRpg0C8BtglwhRpE8wwglwh?JeAgWHAP+TFDqedBA;v115@9gzhB8wwhlwhg0R4B8ywglwhi0C8BtglwhR4E8Btwh?JeAgWHAae/wCMddBA;v115@9gzhB8zhg0R4B8Btywi0C8BtwwglR4E8ilJeAgWHAs?3/wCTOdBA;v115@9gzhB8zhRpglB8Bti0ilC8Btwwg0RpE8ywJeAgWHA0?XUPCPOdBA;v115@9gwhilB80hRpB8Bti0whRpC8Btwwg0whglE8ywJeAg?WHA0HDMCqSdBA;v115@9gzhB8wwRpwhh0AtB8ywglwhg0BtC8ilwhg0AtE8Rp?whJeAgWHApizPCUXdBA;v115@9gzhB8zhh0AtB8ywRpg0BtC8wwilg0AtE8glRpJeAg?WHAs3/wCPOdBA;v115@9gzhB8i0whglRpB8ywAtwhglRpC8wwBtwhhlE8Atg0?whJeAgWHApXMgC0PdBA;v115@9gzhB8wwilh0AtB8ywRpg0BtC8zhg0AtE8glRpJeAg?WHAp3HgC0SdBA;v115@9gzhB8R4Atg0ywB8R4Btg0ilC8zhglwwE8Ath0JeAg?WHApiPFDUddBA;v115@9gzhB8i0whRpglB8ywAtwhilC8wwBtwhRpE8Atg0wh?JeAgWHApXExCvPdBA
IJIOSLZT,6,TIILJSO;TIILJZO;TIILJSZ;IILJSZO,Z;S;O;T,v115@9gzhB8i0whilB8ywg0whglR4C8wwRpwhR4E8RpwhJe?AgWHAPd9wCsPdBA;v115@9gzhB8zhilB8ywRpglR4C8wwg0RpR4E8i0JeAgWHAK?9KxCMOdBA;v115@9gzhB8R4RpywB8R4g0RpilC8zhglwwE8i0JeAgWHAp?i/wCPddBA;v115@9gxhh0B8ywglxhg0B8Btilxhg0C8BtRpxhE8wwRpJe?AgWHAvn1LCs/1BA;v115@9gzhB8zhilB8ywAtg0glR4C8wwBtg0R4E8Ath0JeAg?WHAzfjxCMOdBA;v115@9gg0ywB8Q4hlwhi0B80hRpwwC8R4glwhRpE8Q4glwh?JeAgWHAPONPCzC2BA
IJOISLZT,7,TIILJSO;TIILJZO;TIILJSZ;IILJSZO,Z;S;O;T,v115@9gzhB8i0whilB8ywg0whglR4C8wwRpwhR4E8RpwhJe?AgWHAPd9wCsPdBA;v115@9gzhB8zhilB8ywRpglR4C8wwg0RpR4E8i0JeAgWHAK?9KxCMOdBA;v115@9gzhB8R4RpywB8R4g0RpilC8zhglwwE8i0JeAgWHAp?i/wCPddBA;v115@9gzhB8ywwhi0B8BthlwhRpg0C8BtglwhRpE8wwglwh?JeAgWHAP+TFDqedBA;v115@9gxhh0B8ywglxhg0B8Btilxhg0C8BtRpxhE8wwRpJe?AgWHAvn1LCs/1BA;v115@9gzhB8zhilB8ywAtg0glR4C8wwBtg0R4E8Ath0JeAg?WHAzfjxCMOdBA;v115@9gg0ywB8Q4hlwhi0B80hRpwwC8R4glwhRpE8Q4glwh?JeAgWHAPONPCzC2BA
