ツモ,対応地形数,使用ミノ,未使用ミノ,テト譜
OJSZITL,0,,,
SJZLTOI,0,,,
ZOILSJT,0,,,
OJTLIST,0,,,
JOSLZIT,0,,,
TOTIZJS,0,,,
SLTJTZI,0,,,
TTJISOL,0,,,
LIJTSTO,0,,,
ITZLOSJ,0,,,
TZTOJLS,1,TTLJSZO,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBq+KxCMNBAAvhFOpB9nBTjBNlB6pB3qB
TJZIOSL,0,,,
STLZITJ,0,,,
OTTSLIZ,0,,,
TLSJIZT,1,TTILJSZ,,v115@ChB8GeB8IeB8AeB8FeD8Je3KYaAFLDmClcJSAVDEHB?EooRBToAVBseNPC6OBAAvhFipBlnBxpBGoBUrBlpB
TOJLSIT,0,,,
OIZLTJT,0,,,
TIZOSTL,0,,,
IJZLTTO,0,,,
TSOTJIZ,1,TTIJSZO,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBU+dgCz/AAAvhFVvBZkB9sBToB3lBupB
TSTJIOL,0,,,
JTISLOZ,0,,,
OITTZLS,0,,,
LSZJIOT,0,,,
TZISOJL,0,,,
ZTISTLJ,1,TTILJSZ,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBpO+tCqCBAAvhFxuB1uBlsB3qBGtBipB
ZJITOLS,0,,,
JTIZTLO,0,,,
LOTTISZ,0,,,
ITJZLTS,0,,,
ITJTLOZ,4,TTILJZO,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBpCegCqOBAAvhFxuByuBlsBTpBGtBlqB;v115@ChB8GeB8IeB8AeB8FeD8JeZEYaAFLDmClcJSAVDEHB?EooRBJoAVB0OUPCaHBAAvhFlqBlnBClBGoBUrBzpB;v115@ChB8GeB8IeB8AeB8FeD8JexOYaAFLDmClcJSAVDEHB?EooRBJoAVB0OMgCqXBAAvhF1qBlnBKkBzkBGoBUrB;v115@ChB8GeB8IeB8AeB8FeD8JexOYaAFLDmClcJSAVDEHB?EooRBJoAVB0OUPCvXBAAvhF1qBlnBykBGjBTkBUrB
OTZSTLI,0,,,
TJSOZTI,0,,,
TSZOTIJ,2,TTIJSZO,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBU+dgCz/AAAvhFVvBZkB9sBToB3lBupB;v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBp/dgCzOBAAvhFxuB2uB9sBTtB3qBlpB
SZLTTOI,0,,,
JTSOIZT,0,,,
TTIZOSJ,0,,,
TZLJIST,1,TTILJSZ,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBseNPCzOBAAvhFipBlnBxpBGoB3qBlpB
OZLSITJ,0,,,
ZLSOJTT,0,,,
OTIJLTS,0,,,
OZSTTLI,0,,,
TJSTILO,0,,,
SZJOLTT,0,,,
LTZJTOS,0,,,
TSLJTZO,0,,,
TSOLZJT,0,,,
LJTIZTS,0,,,
JITZOTS,0,,,
TZLSJTO,0,,,
ZSITTJO,1,TTIJSZO,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBp+TxCKHBAAvhFxuBlsB3lBNpBGoBzpB
LIOZTJS,0,,,
ITSTOZJ,0,,,
SJTOZTL,0,,,
JOTILSZ,0,,,
SOZTILJ,0,,,
